English,EnumCode,Key,Simplified Chinese
Change successfully,CHANGE_SUCCESSFULLY,java.changeSuccessfully,成功改变
The output path to,THE_OUTPUT_PATH_TO,java.theOutputPathTo,的输出路径到
Jingwei support,JINGWEI_SUPPORT,java.jingweiSupport,精卫支持
I rely on,I_RELY_ON,java.iRelyOn,我靠
The last dml transaction,THE_LAST_DML_TRANSACTION,java.theLastDmlTransaction,最后一次dml的事务
Last dml transaction time,LAST_DML_TRANSACTION_TIME,java.lastDmlTransactionTime,最后一次dml的事务时间
Multiple tair spaces are configured and need to be specified for each kvItem,MULTIPLE_TAIR_SPACES_ARE,java.multipleTairSpacesAre,配置了多个tair空间，需要为每个kvItem指定
According to the namespace specified in kvItem can not find the corresponding tair space configuration,ACCORDING_TO_THE_NAMESPACE,java.AccordingToTheNamespace,根据kvItem里指定的namespace，找不到对应的tair空间配置
You can try to delete the full amount of tasks to rebuild,YOU_CAN_TRY_TO_DELETE_THE_FULL,java.youCanTryToDeleteTheFull,可以尝试删除全量任务重建一下
Is an exception that needs retrying,IS_AN_EXCEPTION_THAT_NEEDS,java.isAnExceptionThatNeeds,是需要重试的异常
Is to know that can not be successful consumer does not need to re-throw directly throwing anomaly,IS_TO_KNOW_THAT_CAN_NOT_BE,java.isToKnowThatCanNotBe,是知道无法消费成功不需要重试直接往上抛的异常
Custom Full Service Unable to get the service name of the source,CUSTOM_FULL_SERVICE_UNABLE_TO_GET,java.customFullServiceUnableToGet,自定义全量服务无法获取来源的服务名称
aims,AIMS,java.aims,目标
Not connected to the target library,NOT_CONNECTED_TO_THE_TARGET,java.notConnectedToTheTarget,连接不上目标库
Robo lock failed this machine has been running this task,ROBO_LOCK_FAILED_THIS_MACHINE_HAS,java.RoboLockFailedThisMachineHas,抢锁失败，本台机器已经运行了这个任务
Grab lock failure the task may have been running on other machines you can ignore this exception,GRAB_LOCK_FAILURE_THE_TASK_MAY,java.GrabLockFailureTheTaskMay,抢锁失败，任务可能已经在其他机器上运行，可忽略此异常
Test message,TEST_MESSAGE,java.testMessage,测试消息
Seven front,SEVEN_FRONT,java.sevenFront,七锋
Cheng Jin,CHENG_JIN,java.chengJin,承谨
Astro Boy,ASTRO_BOY,java.astroBoy,阿童木
Remark information,REMARK_INFORMATION,java.remarkInformation,备注信息
Information is,INFORMATION_IS,java.informationIs,信息为
The result is,THE_RESULT_IS,java.theResultIs,的结果为
The result (replacing the plus sign) is,THE_RESULT_(REPLACING_THE_PLUS,java.theResult(replacingThePlus,的结果(替换其中的加号)为
initialization,INITIALIZATION,java.initialization,初始化
Wrong,WRONG,java.wrong,出错
Data source configuration error please set tddl data source or druid data source,DATA_SOURCE_CONFIGURATION_ERROR,java.DataSourceConfigurationError,数据源的配置出错，请正确设置tddl数据源或者druid数据源
data import,DATA_IMPORT,java.dataImport,数据导入
